"IDG070. Live births by sex and age of mother"

"By age of mother (years)";"1929 Total";"1929 boys";"1929 girls";"1930 Total";"1930 boys";"1930 girls";"1931 Total";"1931 boys";"1931 girls";"1932 Total";"1932 boys";"1932 girls";"1933 Total";"1933 boys";"1933 girls";"1934 Total";"1934 boys";"1934 girls";"1935 Total";"1935 boys";"1935 girls";"1936 Total";"1936 boys";"1936 girls";"1937 Total";"1937 boys";"1937 girls";"1938 Total";"1938 boys";"1938 girls";"1939 Total";"1939 boys";"1939 girls";"1940 Total";"1940 boys";"1940 girls";"1941 Total";"1941 boys";"1941 girls";"1942 Total";"1942 boys";"1942 girls";"1943 Total";"1943 boys";"1943 girls";"1944 Total";"1944 boys";"1944 girls";"1945 Total";"1945 boys";"1945 girls";"1946 Total";"1946 boys";"1946 girls";"1947 Total";"1947 boys";"1947 girls";"1948 Total";"1948 boys";"1948 girls";"1949 Total";"1949 boys";"1949 girls";"1950 Total";"1950 boys";"1950 girls";"1951 Total";"1951 boys";"1951 girls";"1952 Total";"1952 boys";"1952 girls";"1953 Total";"1953 boys";"1953 girls";"1954 Total";"1954 boys";"1954 girls";"1955 Total";"1955 boys";"1955 girls";"1956 Total";"1956 boys";"1956 girls";"1957 Total";"1957 boys";"1957 girls";"1958 Total";"1958 boys";"1958 girls";"1959 Total";"1959 boys";"1959 girls";"1960 Total";"1960 boys";"1960 girls";"1961 Total";"1961 boys";"1961 girls";"1962 Total";"1962 boys";"1962 girls";"1963 Total";"1963 boys";"1963 girls";"1964 Total";"1964 boys";"1964 girls";"1965 Total";"1965 boys";"1965 girls";"1966 Total";"1966 boys";"1966 girls";"1967 Total";"1967 boys";"1967 girls";"1968 Total";"1968 boys";"1968 girls";"1969 Total";"1969 boys";"1969 girls";"1970 Total";"1970 boys";"1970 girls";"1971 Total";"1971 boys";"1971 girls";"1972 Total";"1972 boys";"1972 girls";"1973 Total";"1973 boys";"1973 girls";"1974 Total";"1974 boys";"1974 girls";"1975 Total";"1975 boys";"1975 girls";"1976 Total";"1976 boys";"1976 girls";"1977 Total";"1977 boys";"1977 girls";"1978 Total";"1978 boys";"1978 girls";"1979 Total";"1979 boys";"1979 girls";"1980 Total";"1980 boys";"1980 girls";"1981 Total";"1981 boys";"1981 girls";"1982 Total";"1982 boys";"1982 girls";"1983 Total";"1983 boys";"1983 girls";"1984 Total";"1984 boys";"1984 girls";"1985 Total";"1985 boys";"1985 girls";"1986 Total";"1986 boys";"1986 girls";"1987 Total";"1987 boys";"1987 girls";"1988 Total";"1988 boys";"1988 girls";"1989 Total";"1989 boys";"1989 girls";"1990 Total";"1990 boys";"1990 girls";"1991 Total";"1991 boys";"1991 girls";"1992 Total";"1992 boys";"1992 girls";"1993 Total";"1993 boys";"1993 girls";"1994 Total";"1994 boys";"1994 girls";"1995 Total";"1995 boys";"1995 girls";"1996 Total";"1996 boys";"1996 girls";"1997 Total";"1997 boys";"1997 girls";"1998 Total";"1998 boys";"1998 girls";"1999 Total";"1999 boys";"1999 girls";"2000 Total";"2000 boys";"2000 girls";"2001 Total";"2001 boys";"2001 girls";"2002 Total";"2002 boys";"2002 girls";"2003 Total";"2003 boys";"2003 girls";"2004 Total";"2004 boys";"2004 girls";"2005 Total";"2005 boys";"2005 girls";"2006 Total";"2006 boys";"2006 girls";"2007 Total";"2007 boys";"2007 girls";"2008 Total";"2008 boys";"2008 girls";"2009 Total";"2009 boys";"2009 girls";"2010 Total";"2010 boys";"2010 girls";"2011 Total";"2011 boys";"2011 girls";"2012 Total";"2012 boys";"2012 girls";"2013 Total";"2013 boys";"2013 girls";"2014 Total";"2014 boys";"2014 girls";"2015 Total";"2015 boys";"2015 girls";"2016 Total";"2016 boys";"2016 girls";"2017 Total";"2017 boys";"2017 girls";"2018 Total";"2018 boys";"2018 girls"
"44";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;52;-;-;36;-;-;55;-;-;48;-;-;52;-;-;57;-;-;33;-;-;41;-;-;38;-;-;46;-;-;46;-;-;46;-;-;38;-;-;40;-;-;42;-;-;36;-;-;30;-;-;47;-;-;39;-;-;32;-;-;27;-;-;31;-;-;38;-;-;17;-;-;27;-;-;33;-;-;32;-;-;19;-;-;19;-;-;25;-;-;23;-;-;23;-;-;28;15;13;24;10;14;15;8;7;25;13;12;19;12;7;21;9;12;17;12;5;23;16;7;21;10;11;21;16;5;30;19;11;21;12;9;21;9;12;18;7;11;25;15;10;33;17;16;24;8;16;25;11;14;29;18;11;37;20;17;39;21;18;51;25;26;48;26;22;48;14;34;49;24;25
"45";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;28;-;-;30;-;-;29;-;-;30;-;-;18;-;-;21;-;-;22;-;-;27;-;-;28;-;-;33;-;-;24;-;-;25;-;-;26;-;-;20;-;-;25;-;-;18;-;-;21;-;-;19;-;-;12;-;-;20;-;-;11;-;-;17;-;-;22;-;-;10;-;-;16;-;-;18;-;-;16;-;-;17;-;-;10;-;-;11;-;-;9;-;-;8;-;-;13;7;6;12;8;4;10;6;4;12;5;7;8;3;5;7;0;7;10;4;6;10;6;4;13;4;9;10;3;7;11;5;6;14;6;8;17;7;10;17;12;5;13;5;8;14;6;8;17;9;8;7;4;3;16;8;8;11;4;7;13;7;6;22;14;8;27;14;13;28;14;14;33;18;15
"46";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;14;-;-;8;-;-;15;-;-;14;-;-;11;-;-;8;-;-;7;-;-;10;-;-;8;-;-;13;-;-;13;-;-;14;-;-;12;-;-;11;-;-;7;-;-;6;-;-;9;-;-;3;-;-;4;-;-;5;-;-;2;-;-;5;-;-;13;-;-;3;-;-;6;-;-;8;-;-;5;-;-;6;-;-;6;-;-;4;-;-;7;-;-;4;-;-;4;1;3;7;3;4;2;1;1;5;4;1;8;3;5;6;6;0;4;2;2;2;1;1;3;1;2;3;1;2;5;4;1;6;3;3;3;1;2;4;1;3;9;4;5;6;1;5;3;2;1;10;3;7;4;2;2;11;4;7;7;3;4;17;8;9;10;3;7;10;3;7;14;9;5
"47";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;6;-;-;12;-;-;5;-;-;4;-;-;4;-;-;4;-;-;4;-;-;2;-;-;4;-;-;3;-;-;2;-;-;3;-;-;2;-;-;3;-;-;2;-;-;8;-;-;1;-;-;1;-;-;1;-;-;2;-;-;2;-;-;1;-;-;6;-;-;0;-;-;2;-;-;1;-;-;3;-;-;1;-;-;2;-;-;1;-;-;3;-;-;3;-;-;3;3;0;3;1;2;3;1;2;2;0;2;1;1;0;3;1;2;2;2;0;1;1;0;2;0;2;3;2;1;1;1;0;2;1;1;2;2;0;2;1;1;0;0;0;2;2;0;6;5;1;0;0;0;1;0;1;4;2;2;1;0;1;2;1;1;6;4;2;4;3;1;3;1;2
"48";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;9;-;-;7;-;-;5;-;-;0;-;-;0;-;-;0;-;-;0;-;-;4;-;-;2;-;-;2;-;-;1;-;-;1;-;-;0;-;-;2;-;-;4;-;-;1;-;-;1;-;-;0;-;-;0;-;-;1;-;-;1;-;-;0;-;-;1;-;-;0;-;-;1;-;-;1;-;-;1;-;-;1;-;-;1;-;-;0;-;-;1;-;-;1;-;-;0;0;0;1;1;0;1;1;0;1;0;1;0;0;0;1;0;1;0;0;0;0;0;0;2;0;2;1;0;1;0;0;0;2;0;2;1;1;0;0;0;0;1;0;1;4;3;1;1;1;0;0;0;0;1;1;0;1;0;1;2;1;1;4;1;3;1;0;1;2;2;0;1;1;0
"49";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;3;-;-;6;-;-;3;-;-;0;-;-;0;-;-;0;-;-;2;-;-;1;-;-;1;-;-;0;-;-;2;-;-;1;-;-;1;-;-;0;-;-;1;-;-;0;-;-;0;-;-;0;-;-;0;-;-;0;-;-;1;-;-;0;-;-;1;-;-;0;-;-;0;-;-;0;-;-;0;-;-;0;-;-;1;-;-;0;-;-;1;-;-;1;-;-;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;1;0;2;0;2;0;0;0;1;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;1;0;1;1;0
"under 20";803;...;...;922;...;...;...;...;...;959;...;...;884;...;...;694;...;...;753;...;...;726;...;...;890;...;...;1193;...;...;1359;...;...;1478;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;1082;...;...;1292;...;...;1280;...;...;1424;...;...;1321;...;...;1290;...;...;1127;...;...;966;...;...;1002;...;...;1088;...;...;1062;...;...;1147;...;...;1349;...;...;1483;...;...;1549;...;...;1617;...;...;1621;...;...;1508;...;...;1354;...;...;1374;...;...;1544;...;...;1840;...;...;2109;...;...;2074;...;...;2193;...;...;2291;...;...;2242;...;...;2384;...;...;2560;...;...;2617;...;...;2745;...;...;2914;...;...;3178;...;...;3335;...;...;3560;...;...;3406;...;...;3350;...;...;3322;...;...;3484;...;...;3498;...;...;3754;...;...;3820;...;...;3939;...;...;3991;...;...;4436;...;...;4406;...;...;4059;...;...;3621;...;...;2770;1448;1322;2416;1256;1160;2080;1096;984;1748;931;817;1576;828;748;1629;845;784;2115;1102;1013;2002;1041;961;1934;1022;912;2038;1045;993;1908;978;930;1897;975;922;2029;1028;1001;2052;1022;1030;1962;995;967;1548;795;753;1152;597;555;1121;591;530;1043;533;510;935;482;453;866;435;431;765;399;366;650;311;339;628;316;312;522;259;263
"20-24";7215;...;...;7641;...;...;...;...;...;7838;...;...;6997;...;...;6896;...;...;6950;...;...;7036;...;...;6667;...;...;6502;...;...;6286;...;...;6432;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;8054;...;...;10008;...;...;10459;...;...;10605;...;...;9613;...;...;9264;...;...;8830;...;...;8069;...;...;8574;...;...;8611;...;...;8629;...;...;9384;...;...;9949;...;...;10395;...;...;10619;...;...;11425;...;...;11277;...;...;10535;...;...;10421;...;...;9405;...;...;9488;...;...;9500;...;...;9913;...;...;10643;...;...;11599;...;...;12477;...;...;12673;...;...;12794;...;...;12978;...;...;13339;...;...;13514;...;...;13642;...;...;13923;...;...;14600;...;...;15135;...;...;15155;...;...;16028;...;...;16891;...;...;16774;...;...;16153;...;...;16492;...;...;15952;...;...;15806;...;...;15043;...;...;14724;...;...;13604;...;...;12726;...;...;10780;...;...;9469;4863;4606;8314;4336;3978;7377;3843;3534;6735;3526;3209;6379;3269;3110;6376;3253;3123;6465;3261;3204;6168;3108;3060;6043;3087;2956;6301;3237;3064;6134;3193;2941;6150;3179;2971;6438;3288;3150;6556;3442;3114;6507;3322;3185;5425;2791;2634;4649;2380;2269;4156;2147;2009;4181;2144;2037;4058;2052;2006;3990;2011;1979;3720;1916;1804;3369;1774;1595;2967;1469;1498;2429;1229;1200
"25-29";10706;...;...;11438;...;...;...;...;...;10720;...;...;10160;...;...;9785;...;...;10321;...;...;10784;...;...;10775;...;...;11375;...;...;11739;...;...;11552;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;6832;...;...;8932;...;...;9750;...;...;10607;...;...;10459;...;...;10949;...;...;10939;...;...;10601;...;...;11401;...;...;11137;...;...;10987;...;...;11141;...;...;11340;...;...;10860;...;...;11012;...;...;10726;...;...;10639;...;...;10495;...;...;10486;...;...;10361;...;...;10791;...;...;11007;...;...;10712;...;...;10330;...;...;10095;...;...;9610;...;...;9340;...;...;8811;...;...;9466;...;...;9691;...;...;9862;...;...;9782;...;...;9659;...;...;9454;...;...;9709;...;...;9824;...;...;10339;...;...;11919;...;...;11953;...;...;11952;...;...;12572;...;...;12842;...;...;12186;...;...;11229;...;...;10350;...;...;9057;...;...;7890;...;...;6727;...;...;6561;3340;3221;5995;3140;2855;5681;2927;2754;5557;2858;2699;5627;2891;2736;6200;3202;2998;6321;3227;3094;5997;3075;2922;6269;3226;3043;6477;3404;3073;6134;3137;2997;6716;3399;3317;6869;3454;3415;7355;3736;3619;7533;3865;3668;7085;3564;3521;6461;3388;3073;6150;3155;2995;6721;3460;3261;6967;3509;3458;7359;3835;3524;7196;3722;3474;7249;3759;3490;6699;3525;3174;6110;3212;2898
"30-34";8520;...;...;9415;...;...;...;...;...;9269;...;...;8525;...;...;8471;...;...;8689;...;...;8913;...;...;8983;...;...;9397;...;...;9545;...;...;9785;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;6868;...;...;6692;...;...;6046;...;...;5681;...;...;5082;...;...;5287;...;...;5933;...;...;6455;...;...;7600;...;...;7726;...;...;7662;...;...;7871;...;...;8062;...;...;7789;...;...;7740;...;...;7673;...;...;7144;...;...;6959;...;...;6566;...;...;6106;...;...;6213;...;...;6105;...;...;6303;...;...;6463;...;...;6809;...;...;7149;...;...;6999;...;...;6437;...;...;6165;...;...;5551;...;...;4957;...;...;4657;...;...;4518;...;...;4547;...;...;4648;...;...;4990;...;...;5229;...;...;5840;...;...;5886;...;...;5610;...;...;6147;...;...;6389;...;...;6269;...;...;5947;...;...;5787;...;...;5125;...;...;4684;...;...;3790;...;...;3571;1850;1721;3085;1588;1497;2917;1512;1405;2943;1518;1425;3031;1533;1498;3250;1680;1570;3454;1768;1686;3580;1795;1785;3878;1971;1907;4246;2158;2088;4107;2095;2012;4657;2393;2264;4893;2498;2395;5027;2505;2522;5298;2665;2633;4830;2442;2388;4611;2378;2233;4518;2277;2241;4800;2445;2355;5188;2639;2549;5751;2961;2790;6259;3248;3011;6494;3359;3135;6269;3269;3000;6173;3182;2991
"35-39";5204;...;...;5653;...;...;...;...;...;5697;...;...;5417;...;...;5113;...;...;5370;...;...;5598;...;...;5433;...;...;5733;...;...;5765;...;...;6061;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;5334;...;...;5566;...;...;5447;...;...;5044;...;...;4434;...;...;3897;...;...;3413;...;...;3005;...;...;2905;...;...;2744;...;...;2896;...;...;3112;...;...;3341;...;...;3621;...;...;3702;...;...;3683;...;...;3441;...;...;3420;...;...;3303;...;...;3117;...;...;3073;...;...;2985;...;...;2877;...;...;2658;...;...;2818;...;...;2933;...;...;2989;...;...;2862;...;...;3042;...;...;2969;...;...;2907;...;...;2633;...;...;2399;...;...;2162;...;...;1942;...;...;1819;...;...;1956;...;...;2038;...;...;2203;...;...;2107;...;...;2491;...;...;2648;...;...;2525;...;...;2229;...;...;2175;...;...;1987;...;...;1806;...;...;1470;...;...;1500;736;764;1443;732;711;1399;725;674;1432;729;703;1408;737;671;1553;788;765;1579;824;755;1579;794;785;1585;804;781;1640;843;797;1797;923;874;2013;1019;994;2148;1118;1030;2431;1215;1216;2556;1327;1229;2546;1305;1241;2309;1192;1117;2317;1204;1113;2567;1368;1199;2741;1408;1333;3048;1621;1427;3204;1721;1483;3324;1730;1594;3320;1734;1586;3199;1663;1536
"40-44";1885;...;...;2193;...;...;...;...;...;2146;...;...;1992;...;...;1880;...;...;1940;...;...;2055;...;...;1862;...;...;1922;...;...;2012;...;...;1963;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;1982;...;...;1958;...;...;2024;...;...;1924;...;...;1800;...;...;1736;...;...;1690;...;...;1604;...;...;1450;...;...;1457;...;...;1138;...;...;909;...;...;874;...;...;741;...;...;745;...;...;769;...;...;868;...;...;852;...;...;858;...;...;797;...;...;832;...;...;762;...;...;735;...;...;697;...;...;774;...;...;726;...;...;702;...;...;675;...;...;667;...;...;607;...;...;620;...;...;579;...;...;549;...;...;562;...;...;523;...;...;507;...;...;553;...;...;537;...;...;503;...;...;417;...;...;479;...;...;456;...;...;523;...;...;454;...;...;426;...;...;438;...;...;383;...;...;347;...;...;346;177;169;293;142;151;291;150;141;373;183;190;363;175;188;364;171;193;349;192;157;381;194;187;390;194;196;419;227;192;450;257;193;416;206;210;465;241;224;502;256;246;516;258;258;570;286;284;556;285;271;522;253;269;550;291;259;669;353;316;705;353;352;782;410;372;826;426;400;895;459;436;825;418;407
"45-49";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;60;-;-;63;-;-;57;-;-;48;-;-;33;-;-;33;-;-;35;-;-;44;-;-;43;-;-;51;-;-;42;-;-;44;-;-;41;-;-;36;-;-;39;-;-;33;-;-;32;-;-;23;-;-;17;-;-;28;-;-;17;-;-;23;-;-;43;-;-;13;-;-;25;-;-;28;-;-;25;-;-;25;-;-;20;-;-;16;-;-;21;-;-;17;-;-;20;11;9;23;13;10;16;9;7;20;9;11;17;7;10;17;7;10;16;8;8;13;8;5;21;5;16;17;6;11;17;10;7;24;10;14;24;12;12;25;14;11;23;9;14;27;12;15;27;17;10;18;7;11;22;11;11;27;10;17;23;11;12;45;24;21;45;21;24;45;23;22;52;30;22
"45+";350;...;...;362;...;...;...;...;...;347;...;...;307;...;...;280;...;...;303;...;...;265;...;...;188;...;...;199;...;...;183;...;...;199;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;230;...;...;237;...;...;225;...;...;245;...;...;245;...;...;223;...;...;215;...;...;173;...;...;179;...;...;155;...;...;171;...;...;119;...;...;116;...;...;114;...;...;81;...;...;69;...;...;60;...;...;63;...;...;57;...;...;48;...;...;33;...;...;33;...;...;35;...;...;44;...;...;44;...;...;53;...;...;44;...;...;45;...;...;42;...;...;36;...;...;39;...;...;33;...;...;32;...;...;23;...;...;17;...;...;30;...;...;22;...;...;25;...;...;44;...;...;14;...;...;25;...;...;28;...;...;27;...;...;27;...;...;20;...;...;16;...;...;21;...;...;18;...;...;20;11;9;23;13;10;16;9;7;20;9;11;17;7;10;17;7;10;16;8;8;13;8;5;22;6;16;17;6;11;17;10;7;24;10;14;25;12;13;26;15;11;23;9;14;27;12;15;27;17;10;18;7;11;22;11;11;29;11;18;26;13;13;47;25;22;48;23;25;46;24;22;54;31;23
"50+";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;0;...;...;0;...;...;0;...;...;0;...;...;0;...;...;0;...;...;0;...;...;0;...;...;1;...;...;2;...;...;2;-;-;1;-;-;1;-;-;0;-;-;0;-;-;0;...;...;0;...;...;0;...;...;0;...;...;2;...;...;5;...;...;2;...;...;1;...;...;1;...;...;0;...;...;0;...;...;2;...;...;2;...;...;0;...;...;0;...;...;0;...;...;1;...;...;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;1;3;2;1;2;1;1;3;2;1;1;1;0;2;1;1
"Not specified";990;...;...;211;...;...;...;...;...;390;...;...;294;...;...;264;...;...;93;...;...;91;...;...;65;...;...;65;...;...;43;...;...;23;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;162;...;...;147;...;...;171;...;...;141;...;...;183;...;...;118;...;...;131;...;...;113;...;...;91;...;...;50;...;...;45;...;...;31;...;...;37;...;...;25;...;...;20;...;...;31;...;...;11;...;...;11;...;...;8;...;...;4;...;...;0;...;...;0;...;...;9;...;...;6;...;...;1;...;...;0;...;...;18;...;...;0;...;...;0;...;...;0;...;...;0;...;...;0;...;...;0;...;...;0;...;...;0;...;...;1;...;...;0;...;...;0;...;...;0;...;...;0;...;...;0;...;...;0;...;...;0;...;...;2;...;...;0;...;...;0;...;...;0;...;...;6;...;...;19;13;6;26;18;8;21;11;10;22;12;10;9;4;5;7;4;3;3;2;1;6;2;4;6;3;3;13;7;6;4;2;2;6;1;5;4;3;1;9;4;5;2;1;1;13;7;6;16;9;7;23;15;8;13;5;8;9;4;5;1;1;0;6;1;5;8;3;5;4;1;3;2;1;1
